"","Package","Downloads"
"549","MXM",1102
"550","FactorAssumptions",380
"551","aniDom",762
"552","MortalitySmooth",1218
"553","ggbump",392
"554","ssgraph",623
"555","errorizer",579
"556","future.batchtools",2460
"557","ghypernet",411
"558","rtape",664
"559","ump",761
"560","summarytools",12787
"561","GeoLight",738
"562","rJava",218091
"563","SeqMADE",465
"564","dbscan",26483
"565","flowr",748
"566","pglm",4491
"567","primefactr",529
"568","MBmca",649
"569","gllm",842
"570","nima",551
"571","passport",805
"572","TSDT",392
"573","fakemake",1453
"574","Ropj",403
"575","kmeRs",489
"576","dendroTools",1031
"577","liteq",766
"578","sss",561
"579","graphsim",634
"580","statespacer",685
"581","InterVA4",607
"582","poisson.glm.mix",655
"583","statgenSTA",615
"584","oaPlots",571
"585","NMVANOVA",604
"586","conStruct",636
"587","cms",402
"588","sae",706
"589","gradeR",689
"590","SCtools",527
"591","VCA",1195
"592","mapfit",579
"593","gdimap",664
"594","rpdo",673
"595","ipa",281
"596","NPP",616
"597","vici",357
"598","actel",860
"599","sievePH",381
"600","banR",769
"601","EBASS",619
"602","ClickClustCont",662
"603","fontBitstreamVera",20569
"604","BGSIMD",826
"605","rspa",648
"606","rcrypt",185
"607","lorec",564
"608","pulsar",969
"609","globe",783
"610","admisc",3179
"611","mkin",1210
"612","fitzRoy",601
"613","MLCIRTwithin",732
"614","ngspatial",735
"615","statsguRu",399
"616","progress",450153
"617","mvPot",1973
"618","ShinyItemAnalysis",1065
"619","seleniumPipes",732
"620","FuzzyLP",620
"621","rptR",822
"622","soundecology",804
"623","ltmix",375
"624","AdvDif4",904
"625","spatgraphs",780
"626","cenGAM",633
"627","SimEUCartelLaw",381
"628","treestartr",378
"629","cquad",802
"630","ARpLMEC",590
"631","qdapRegex",12574
"632","estimability",72355
"633","versions",2841
"634","trendsegmentR",430
"635","dcminfo",590
"636","shinyservicebot",266
"637","readwritesqlite",674
"638","hmi",861
"639","tinsel",478
"640","conf",841
"641","BCT",224
"642","spotGUI",408
"643","nord",528
"644","analysisPipelines",602
"645","Hotelling",1470
"646","RaProR",523
"647","lakemorpho",555
"648","tmle",796
"649","dsa",772
"650","CINNA",963
"651","labsimplex",282
"652","qtl2convert",306
"653","smallarea",479
"654","oshka",453
"655","iSDM",584
"656","osmdata",7592
"657","binford",650
"658","AID",1235
"659","BcDiag",964
"660","GMMAT",587
"661","notifyme",523
"662","qqplotr",3361
"663","OrgMassSpecR",777
"664","assignPOP",1215
"665","corrplot",288727
"666","DecorateR",641
"667","HistData",8053
"668","MetaClean",280
"669","vortexRdata",666
"670","evolqg",816
"671","fdrci",768
"672","plinkFile",627
"673","lazyeval",316192
"674","GRANBase",1563
"675","KMunicate",549
"676","aws.translate",575
"677","AMCP",1143
"678","butcher",1094
"679","ariExtra",470
"680","marg",2058
"681","fRegression",1024
"682","rsubgroup",574
"683","optimr",975
"684","label.switching",1165
"685","ctqr",615
"686","sendplot",1032
"687","qdapTools",6709
"688","mixRasch",919
"689","easyr",681
"690","colorist",636
"691","QualInt",499
"692","subsamp",636
"693","npsurv",4214
"694","corels",333
"695","wpp2012",698
"696","hybridEnsemble",616
"697","sbgcop",717
"698","overdisp",921
"699","cgdsr",1217
"700","desctable",938
"701","eclust",637
"702","NTS",627
"703","MortalityLaws",1512
"704","AirSensor",513
"705","bcaboot",586
"706","MultiFit",512
"707","tempR",809
"708","tidygapminder",380
"709","DCchoice",1223
"710","bayesImageS",791
"711","simpleCache",605
"712","regmedint",478
"713","GSE",741
"714","tablerDash",2648
"715","parsec",533
"716","noctua",1014
"717","instaR",1010
"718","bsam",810
"719","featurizer",761
"720","cosinor",747
"721","KernelKnn",2611
"722","dbflobr",573
"723","gaselect",668
"724","tealeaves",416
"725","planets",551
"726","gRim",965
"727","fssemR",517
"728","CenBAR",526
"729","ramcmc",2268
"730","CCAMLRGIS",582
"731","brainKCCA",539
"732","LDheatmap",1759
"733","hierarchicalSets",598
"734","simexaft",583
"735","HiCseg",804
"736","addinsOutline",569
"737","bhm",768
"738","expose",500
"739","traipse",1098
"740","algorithmia",934
"741","StandardizeText",636
"742","LIHKGr",380
"743","MixAll",663
"744","ph2bye",548
"745","synlik",521
"746","expert",2115
"747","shiny.semantic",1351
"748","MPV",2845
"749","FcircSEC",539
"750","SurvGSD",377
"751","pwt9",1311
"752","tangles",357
"753","git2rdata",506
"754","SphericalCubature",602
"755","PoiClaClu",1220
"756","prclust",542
"757","agrmt",1078
"758","maic",327
"759","hydroApps",657
"760","R2BEAT",531
"761","pullword",477
"762","MuViCP",491
"763","pgmm",1069
"764","CoinMinD",653
"765","treefit",368
"766","bSims",495
"767","spemd",419
"768","estprod",646
"769","friends",417
"770","imageData",640
"771","jdx",603
"772","hot.deck",958
"773","sequences",555
"774","iWISA",613
"775","pillar",1022110
"776","CBSr",502
"777","ROI.models.globalOptTests",755
"778","feather",34339
"779","HighestMedianRules",700
"780","partDSA",583
"781","modelgrid",528
"782","postDoubleR",361
"783","colorscience",737
"784","gginference",1017
"785","hdiVAR",366
"786","SBRect",453
"787","stevedata",129
"788","nmixgof",426
"789","EDFIR",641
"790","rerddapXtracto",784
"791","numbers",13526
"792","CCP",1333
"793","rlist",115534
"794","iterators",213802
"795","dynsim",765
"796","Bmix",776
"797","PIGShift",525
"798","fastglm",1391
"799","revss",482
"800","support.BWS2",532
"801","rules",719
"802","tramnet",363
"803","eHOF",569
"804","nlshelper",538
"805","dbnlearn",390
"806","SGL",686
"807","BayesSampling",331
"808","mdsr",1642
"809","gMOIP",733
"810","gmp",44114
"811","PxWebApiData",695
"812","fracture",410
"813","Modeler",599
"814","patchSynctex",506
"815","SortedEffects",385
"816","htmltab",4362
"817","ggResidpanel",1518
"818","spork",380
"819","rmetalog",544
"820","mapReasy",586
"821","lm.beta",10316
"822","sabre",460
"823","metamer",397
"824","virtualPollen",378
"825","irace",2787
"826","RGoogleAnalyticsPremium",486
"827","partialOR",464
"828","CopCTS",493
"829","hereR",1069
"830","dma",660
"831","rsdepth",667
"832","phyreg",617
"833","RcmdrPlugin.DoE",1640
"834","MBA",4899
"835","bujar",1070
"836","HH",7871
"837","soundgen",966
"838","beanz",795
"839","tsPI",590
"840","lpdensity",1116
"841","liquidSVM",2222
"842","farrell",431
"843","modeLLtest",568
"844","LinkedMatrix",716
"845","sigQC",496
"846","crrp",652
"847","qdap",7735
"848","commentr",625
"849","ppmHR",608
"850","mauricer",935
"851","FRK",998
"852","N2R",340
"853","SOMbrero",735
"854","graphkernels",664
"855","selectapref",656
"856","ActivePathways",560
"857","nseval",481
"858","geozoning",500
"859","stratallo",421
"860","mcglm",454
"861","zetadiv",615
"862","TBEST",531
"863","starsExtra",602
"864","ptmixed",543
"865","SeerMapper",519
"866","pcadapt",799
"867","shapes",4116
"868","R2Addhaz",353
"869","GB2",689
"870","rayshader",2363
"871","clValid",6916
"872","NGSSEML",613
"873","BayesTreePrior",702
"874","STARTS",702
"875","MVQuickGraphs",531
"876","provTraceR",346
"877","ontologySimilarity",571
"878","xspliner",413
"879","gear",811
"880","GeNetIt",611
"881","SIDES",623
"882","hpoPlot",612
"883","apercu",1314
"884","eha",4458
"885","rforensicbatwing",485
"886","unifed",436
"887","bets.covid19",492
"888","statGraph",686
"889","doebioresearch",365
"890","luzlogr",668
"891","strat",476
"892","poisFErobust",377
"893","tidygenomics",561
"894","ggwordcloud",2304
"895","timedeppar",530
"896","CMShiny",503
"897","ahp",1006
"898","RankingProject",484
"899","caseMatch",819
"900","ROMIplot",465
"901","ConR",867
"902","bioseq",539
"903","spgs",811
"904","dadjoke",550
"905","Cluster.OBeu",528
"906","Tushare",561
"907","hdpca",566
"908","rMisbeta",147
"909","sampleSelection",5532
"910","MLMOI",361
"911","lcpm",468
"912","disdat",392
"913","SimSCRPiecewise",650
"914","alleHap",745
"915","GenomicTools.fileHandler",621
"916","PopGenKit",648
"917","capushe",809
"918","ExtractTrainData",540
"919","altfuelr",386
"920","cmocean",976
"921","volleystat",386
"922","emoa",3455
"923","ADMM",863
"924","shinytoastr",706
"925","tensorr",444
"926","DynTxRegime",1031
"927","InformationValue",5346
"928","genomeplot",518
"929","prim",1044
"930","normalp",1122
"931","befproj",416
"932","mQTL",708
"933","vegdata",934
"934","WaMaSim",369
"935","FLR",772
"936","topmodel",1167
"937","sjmisc",30672
"938","LS2W",647
"939","hyperoverlap",360
"940","sparkavro",3515
"941","moreparty",552
"942","pesel",727
"943","AMPLE",587
"944","kirby21.fmri",574
"945","factoptd",499
"946","dataspice",494
"947","LCA",855
"948","spectral",820
"949","munfold",638
"950","ggfortify",35136
"951","LINselect",648
"952","cymruservices",653
"953","jquerylib",502
"954","gendata",809
"955","orgutils",532
"956","sigInt",362
"957","rdbnomics",838
"958","Iso",1663
"959","mbmixture",360
"960","magick",72316
"961","mastif",519
"962","radir",500
"963","fame",1038
"964","rversions",210997
"965","TDPanalysis",505
"966","accrual",809
"967","siteymlgen",269
"968","cliapp",1878
"969","simsl",356
"970","LOGAN",389
"971","tidymodels",17214
"972","Rspotify",494
"973","FASeg",647
"974","localFDA",522
"975","Rmst",284
"976","calibrator",934
"977","pse",620
"978","miWQS",513
"979","fontcm",2374
"980","vardiag",749
"981","xesreadR",731
"982","Rbitcoin",710
"983","properties",4615
"984","SoilR",749
"985","AlleleRetain",744
"986","obAnalytics",602
"987","TwoStepCLogit",571
"988","dscore",588
"989","mase",531
"990","ICODS",473
"991","LindleyPowerSeries",478
"992","rAmCharts4",660
"993","biogram",889
"994","armada",580
"995","sad",502
"996","stable",9575
"997","compboost",530
"998","plotfunctions",1258
"999","geodiv",615
"1000","shinylogs",560
